num_of_vert,time,alg
841,2.464,Grid cuts serial
841,0,Grid cuts serial
841,2.732,Grid cuts serial
841,2.765,Grid cuts serial
841,2.653,Grid cuts serial
841,2.368,Grid cuts serial
841,2.782,Grid cuts serial
841,2.686,Grid cuts serial
786,0.000058,HPF
786,0.000099,HPF
812,0.393,Grid cuts serial
784,0.434,Grid cuts serial
786,0.000099,HPF
841,0.602,Grid cuts serial
812,0.778,Grid cuts serial
814,0.000070,HPF
812,0.461,Grid cuts serial
784,0.389,Grid cuts serial
812,0.65,Grid cuts serial
784,0.719,Grid cuts serial
10000,8.645,Grid cuts serial
49729,37.316,Grid cuts serial
270000,4.92237,CudaCuts
270000,7.71277,CudaCuts
307200,6.26995,CudaCuts
270000,7.90835,CudaCuts
164920,7.32774, CudaCuts
164920,7.32755, CudaCuts
164920,7.4199, CudaCuts
164920,7.58784, CudaCuts
164920,9.04579, CudaCuts
164920,9.03578, CudaCuts
164920,9.02758, CudaCuts
164920,9.02349, CudaCuts
164920,9.02246, CudaCuts
166222,45.147,Grid cuts serial
166222,48.043,Grid cuts serial
164920,22.962,Grid cuts serial
164920,22.986,Grid cuts serial
164920,24.71,Grid cuts serial
164920,30.295,Grid cuts serial
164920,30.147,Grid cuts serial
164920,29.685,Grid cuts serial
164920,30.528,Grid cuts serial
